list: GranularLockingList, elements: 200, threadCount: 10, cost[ms]: 0, randomAdd[ms]: 14, randomContains[ms]: 17, randomRemove[ms]: 15
list: WholeLockingList, elements: 200, threadCount: 10, cost[ms]: 0, randomAdd[ms]: 5, randomContains[ms]: 29, randomRemove[ms]: 22
list: GranularLockingList, elements: 200, threadCount: 20, cost[ms]: 0, randomAdd[ms]: 7, randomContains[ms]: 17, randomRemove[ms]: 20
list: WholeLockingList, elements: 200, threadCount: 20, cost[ms]: 0, randomAdd[ms]: 3, randomContains[ms]: 26, randomRemove[ms]: 22
list: GranularLockingList, elements: 200, threadCount: 30, cost[ms]: 0, randomAdd[ms]: 5, randomContains[ms]: 29, randomRemove[ms]: 28
list: WholeLockingList, elements: 200, threadCount: 30, cost[ms]: 0, randomAdd[ms]: 5, randomContains[ms]: 28, randomRemove[ms]: 23
list: GranularLockingList, elements: 200, threadCount: 40, cost[ms]: 0, randomAdd[ms]: 10, randomContains[ms]: 30, randomRemove[ms]: 27
list: WholeLockingList, elements: 200, threadCount: 40, cost[ms]: 0, randomAdd[ms]: 6, randomContains[ms]: 27, randomRemove[ms]: 21
list: GranularLockingList, elements: 200, threadCount: 50, cost[ms]: 0, randomAdd[ms]: 6, randomContains[ms]: 20, randomRemove[ms]: 27
list: WholeLockingList, elements: 200, threadCount: 50, cost[ms]: 0, randomAdd[ms]: 6, randomContains[ms]: 22, randomRemove[ms]: 21
list: GranularLockingList, elements: 200, threadCount: 60, cost[ms]: 0, randomAdd[ms]: 5, randomContains[ms]: 19, randomRemove[ms]: 21
list: WholeLockingList, elements: 200, threadCount: 60, cost[ms]: 0, randomAdd[ms]: 6, randomContains[ms]: 22, randomRemove[ms]: 20
list: GranularLockingList, elements: 200, threadCount: 70, cost[ms]: 0, randomAdd[ms]: 11, randomContains[ms]: 16, randomRemove[ms]: 15
list: WholeLockingList, elements: 200, threadCount: 70, cost[ms]: 0, randomAdd[ms]: 6, randomContains[ms]: 21, randomRemove[ms]: 17
list: GranularLockingList, elements: 200, threadCount: 80, cost[ms]: 0, randomAdd[ms]: 8, randomContains[ms]: 16, randomRemove[ms]: 24
list: WholeLockingList, elements: 200, threadCount: 80, cost[ms]: 0, randomAdd[ms]: 8, randomContains[ms]: 20, randomRemove[ms]: 17
list: GranularLockingList, elements: 200, threadCount: 90, cost[ms]: 0, randomAdd[ms]: 9, randomContains[ms]: 21, randomRemove[ms]: 52
list: WholeLockingList, elements: 200, threadCount: 90, cost[ms]: 0, randomAdd[ms]: 11, randomContains[ms]: 31, randomRemove[ms]: 21
list: GranularLockingList, elements: 200, threadCount: 100, cost[ms]: 0, randomAdd[ms]: 9, randomContains[ms]: 24, randomRemove[ms]: 29
list: WholeLockingList, elements: 200, threadCount: 100, cost[ms]: 0, randomAdd[ms]: 12, randomContains[ms]: 28, randomRemove[ms]: 27
list: GranularLockingList, elements: 200, threadCount: 10, cost[ms]: 1, randomAdd[ms]: 388, randomContains[ms]: 6144, randomRemove[ms]: 5222
list: WholeLockingList, elements: 200, threadCount: 10, cost[ms]: 1, randomAdd[ms]: 379, randomContains[ms]: 59981, randomRemove[ms]: 49212
list: GranularLockingList, elements: 200, threadCount: 20, cost[ms]: 1, randomAdd[ms]: 392, randomContains[ms]: 3454, randomRemove[ms]: 2867
list: WholeLockingList, elements: 200, threadCount: 20, cost[ms]: 1, randomAdd[ms]: 381, randomContains[ms]: 53892, randomRemove[ms]: 53630
list: GranularLockingList, elements: 200, threadCount: 30, cost[ms]: 1, randomAdd[ms]: 350, randomContains[ms]: 2073, randomRemove[ms]: 1812
list: WholeLockingList, elements: 200, threadCount: 30, cost[ms]: 1, randomAdd[ms]: 336, randomContains[ms]: 47390, randomRemove[ms]: 41970
list: GranularLockingList, elements: 200, threadCount: 40, cost[ms]: 1, randomAdd[ms]: 394, randomContains[ms]: 1905, randomRemove[ms]: 1697
list: WholeLockingList, elements: 200, threadCount: 40, cost[ms]: 1, randomAdd[ms]: 371, randomContains[ms]: 54823, randomRemove[ms]: 53612
list: GranularLockingList, elements: 200, threadCount: 50, cost[ms]: 1, randomAdd[ms]: 386, randomContains[ms]: 1554, randomRemove[ms]: 1417
list: WholeLockingList, elements: 200, threadCount: 50, cost[ms]: 1, randomAdd[ms]: 359, randomContains[ms]: 54909, randomRemove[ms]: 49848
list: GranularLockingList, elements: 200, threadCount: 60, cost[ms]: 1, randomAdd[ms]: 343, randomContains[ms]: 1202, randomRemove[ms]: 1093
list: WholeLockingList, elements: 200, threadCount: 60, cost[ms]: 1, randomAdd[ms]: 336, randomContains[ms]: 47616, randomRemove[ms]: 40704
list: GranularLockingList, elements: 200, threadCount: 70, cost[ms]: 1, randomAdd[ms]: 266, randomContains[ms]: 663, randomRemove[ms]: 741
list: WholeLockingList, elements: 200, threadCount: 70, cost[ms]: 1, randomAdd[ms]: 258, randomContains[ms]: 28425, randomRemove[ms]: 26518
list: GranularLockingList, elements: 200, threadCount: 80, cost[ms]: 1, randomAdd[ms]: 319, randomContains[ms]: 794, randomRemove[ms]: 860
list: WholeLockingList, elements: 200, threadCount: 80, cost[ms]: 1, randomAdd[ms]: 306, randomContains[ms]: 36587, randomRemove[ms]: 34635
list: GranularLockingList, elements: 200, threadCount: 90, cost[ms]: 1, randomAdd[ms]: 341, randomContains[ms]: 869, randomRemove[ms]: 950
list: WholeLockingList, elements: 200, threadCount: 90, cost[ms]: 1, randomAdd[ms]: 342, randomContains[ms]: 45382, randomRemove[ms]: 42322
list: GranularLockingList, elements: 200, threadCount: 100, cost[ms]: 1, randomAdd[ms]: 394, randomContains[ms]: 982, randomRemove[ms]: 1076
list: WholeLockingList, elements: 200, threadCount: 100, cost[ms]: 1, randomAdd[ms]: 377, randomContains[ms]: 53248, randomRemove[ms]: 48214
list: GranularLockingList, elements: 200, threadCount: 10, cost[ms]: 2, randomAdd[ms]: 575, randomContains[ms]: 9786, randomRemove[ms]: 8374
list: WholeLockingList, elements: 200, threadCount: 10, cost[ms]: 2, randomAdd[ms]: 551, randomContains[ms]: 89531, randomRemove[ms]: 78989
list: GranularLockingList, elements: 200, threadCount: 20, cost[ms]: 2, randomAdd[ms]: 564, randomContains[ms]: 5084, randomRemove[ms]: 4220
list: WholeLockingList, elements: 200, threadCount: 20, cost[ms]: 2, randomAdd[ms]: 558, randomContains[ms]: 86143, randomRemove[ms]: 76870
list: GranularLockingList, elements: 200, threadCount: 30, cost[ms]: 2, randomAdd[ms]: 506, randomContains[ms]: 3064, randomRemove[ms]: 2467
list: WholeLockingList, elements: 200, threadCount: 30, cost[ms]: 2, randomAdd[ms]: 516, randomContains[ms]: 74261, randomRemove[ms]: 64025
list: GranularLockingList, elements: 200, threadCount: 40, cost[ms]: 2, randomAdd[ms]: 581, randomContains[ms]: 2885, randomRemove[ms]: 2545
list: WholeLockingList, elements: 200, threadCount: 40, cost[ms]: 2, randomAdd[ms]: 576, randomContains[ms]: 88505, randomRemove[ms]: 80051
list: GranularLockingList, elements: 200, threadCount: 50, cost[ms]: 2, randomAdd[ms]: 567, randomContains[ms]: 2392, randomRemove[ms]: 2033
list: WholeLockingList, elements: 200, threadCount: 50, cost[ms]: 2, randomAdd[ms]: 566, randomContains[ms]: 86011, randomRemove[ms]: 76460
list: GranularLockingList, elements: 200, threadCount: 60, cost[ms]: 2, randomAdd[ms]: 517, randomContains[ms]: 1709, randomRemove[ms]: 1603
list: WholeLockingList, elements: 200, threadCount: 60, cost[ms]: 2, randomAdd[ms]: 519, randomContains[ms]: 70055, randomRemove[ms]: 63377
list: GranularLockingList, elements: 200, threadCount: 70, cost[ms]: 2, randomAdd[ms]: 399, randomContains[ms]: 1009, randomRemove[ms]: 1106
list: WholeLockingList, elements: 200, threadCount: 70, cost[ms]: 2, randomAdd[ms]: 403, randomContains[ms]: 45018, randomRemove[ms]: 39622
